169.039948453   151.832926185   84.6937445853 2
102.743669552   81.5818933526   156.975919218 2
95.8427938763   117.093025852   181.714464154 3
57.0857310355   151.405036627   124.055430338 2
182.039504938   196.574309731   162.233229963 5
62.7193662945   146.236517904   179.868819306 4
94.9564003751   21.0395404056   87.4001952553 4
182.689199594   193.354667186   95.924945534 5
52.837969768   161.200537576   110.191161463 1
144.221232594   80.3658849026   165.144150452 4
1.22742104357   99.2219954266   173.652952323 2
65.7156681867   174.22377519   39.022351209 3
48.4845697944   193.540509808   160.832714387 3
17.008717892   64.6908663298   102.080187862 5
22.7025113403   110.702181972   141.605720564 3
163.078905795   108.516437787   192.803870649 4
117.935795771   89.5528162288   119.661085455 2
115.554551819   58.7755709781   38.6888743823 1
122.941862794   131.675218409   95.8296674099 1
151.763180471   175.477303794   184.752822173 5
